Preemptive SJF Sonuçları - case1.csv
[1768] -- P079 -- [1787]
[1787] -- P099 -- [1806]
[1806] -- P119 -- [1825]
[1825] -- P139 -- [1844]
[1844] -- P159 -- [1863]
[1863] -- P179 -- [1882]
[1882] -- P199 -- [1901]
[1901] -- P020 -- [1921]
[1921] -- P040 -- [1941]
[1941] -- P060 -- [1961]
[1961] -- P080 -- [1981]
[1981] -- P100 -- [2001]
[2001] -- P120 -- [2021]
[2021] -- P140 -- [2041]
[2041] -- P160 -- [2061]
[2061] -- P180 -- [2081]
[2081] -- P200 -- [2101]

b) Maksimum ve Ortalama Bekleme Süresi [Waiting Time]
   Maksimum: 1863.2050
   Ortalama: 537.1076

c) Maksimum ve Ortalama Tamamlanma Süresi [Turnaround Time]
   Maksimum: 1883.2050
   Ortalama: 547.6076

d) T=[50, 100, 150, 200] için İş Tamamlama Sayısı [Throughput]
   T=50: 11
   T=100: 22
   T=150: 32
   T=200: 42

e) Ortalama CPU Verimliliği
   99.9422%

f) Toplam Bağlam Değiştirme Sayısı
   215
